Series Key,SEDS.CLTXD.WY.Q,SEDS.NGTXD.WY.Q,SEDS.PATXD.WY.Q,SEDS.WWTXD.WY.Q,SEDS.ESTXD.WY.Q,SEDS.TERCD.WY.Q,SEDS.TETCD.WY.Q,
Series Name,Average Coal Price All Sectors,Average Nat Gas Price All Sectors,Average Petroleum Price All Sectors,Wood Average Price All Sectors,"Electrical Price Average, all end use sectors",Total Energy Price Quarterly residential,Total Energy Ave Price Quarterly Wyoming,
Units,Dollars per million Btu,Dollars per million Btu,Dollars per million Btu,Dollars per million Btu,Dollars per million Btu,Dollars per million Btu,Dollars per million Btu,
Frequency,Q,Q,Q,Q,Q,Q,Q,
Start Date,2021Q4,2021Q4,2021Q4,2021Q4,2021Q4,2021Q4,2021Q4,
End Date,1970Q4,1970Q4,1970Q4,1970Q4,1970Q4,1970Q4,1970Q4,
Source,"EIA, U.S. Energy Information Administration","EIA, U.S. Energy Information Administration","EIA, U.S. Energy Information Administration","EIA, U.S. Energy Information Administration","EIA, U.S. Energy Information Administration","EIA, U.S. Energy Information Administration","EIA, U.S. Energy Information Administration",
,,,,,,,,
2021Q4,2.55,6.54,23.29,11.2,24.29,19.47,17.32,
2020Q4,2.44,4.95,17.18,9.35,24.41,17.76,13.58,
2019Q4,2.42,4.67,20.64,11.3,23.91,17.48,14.93,
2018Q4,2.36,4.79,21.73,11.74,23.87,18.48,15.41,
2017Q4,2.29,5.29,18.58,10.63,24.4,18.88,14.51,
2016Q4,2.14,4.88,16.22,9.44,24.12,17.96,13.28,
2015Q4,2.23,5.95,18.5,11.06,23.48,18.4,14.88,
2014Q4,2.33,6.67,26.02,15.34,22.87,19.01,18.79,
2013Q4,2.15,5.57,26.49,15.52,22.24,17.56,18.42,
2012Q4,1.91,5.61,26.92,15.52,21.19,18.01,18.68,
2011Q4,1.82,6.34,26.48,14.16,19.39,17.34,18.2,
2010Q4,1.68,5.92,21.16,11.26,18.27,16.34,15.37,
2009Q4,1.6,6.84,17.19,9.85,17.94,16.55,13.64,
2008Q4,1.58,8.11,25.94,13.64,16.73,16.98,17.86,
2007Q4,1.5,7.02,21.15,11.01,15.61,15.28,14.95,
2006Q4,1.37,9.28,19.51,9.96,15.55,15.96,14.55,
2005Q4,1.31,8.49,17,8.52,15.21,14.8,12.94,
2004Q4,1.27,6.91,12.76,5.73,14.69,13.1,10.31,
2003Q4,1.25,5.53,10.47,5.11,14.03,11.96,8.8,
2002Q4,1.24,5.11,9.25,4.3,13.82,10.77,8.03,
2001Q4,1.27,6.73,9.67,4.56,13.15,12.3,8.51,
2000Q4,1.23,4.5,10.04,5.48,12.81,10.38,7.92,
1999Q4,1.1,3.7,7.85,3.66,12.67,9.38,6.56,
1998Q4,1.1,3.6,7.25,3.57,12.72,9.14,5.96,
1997Q4,1.1,3.53,8.25,3.97,12.78,8.69,6.48,
1996Q4,1.03,3.24,8.44,3.97,12.7,8.25,6.38,
1995Q4,1.04,3.42,7.79,3.21,12.73,8.65,6.18,
1994Q4,1.06,3.66,7.58,2.76,12.56,8.77,6.03,
1993Q4,1.1,3.7,7.54,3.53,12.52,8.39,6.13,
1992Q4,1.12,3.17,7.75,3.5,12.59,8.67,5.97,
1991Q4,1.14,3.48,7.66,2.63,12.52,8.65,6.26,
1990Q4,1.13,3.57,7.94,2.63,12.39,8.44,6.53,
1989Q4,1.36,3.82,7.1,1.5,12.66,8.63,6.53,
1988Q4,1.4,3.75,6.2,1.65,12.81,7.95,6.15,
1987Q4,1.35,3.93,6.11,1.65,12.91,8.22,6.1,
1986Q4,1.75,4.01,6.18,1.82,13.13,8.17,6.17,
1985Q4,1.94,4.28,7.58,2.25,12.54,8.13,6.79,
1984Q4,1.89,4.54,7.74,2.27,12.26,8.31,6.79,
1983Q4,1.42,4.24,7.88,2.25,12.48,7.84,6.55,
1982Q4,1.34,3.96,7.98,2.32,10.99,7.11,6.61,
1981Q4,1.76,3.01,8.4,2.32,9.62,6.84,6.68,
1980Q4,1.71,2.44,7.34,1.99,7.45,5.6,5.86,
1979Q4,1.55,2.36,5.24,1.98,6.11,4.28,4.27,
1978Q4,1.43,1.66,3.76,1.61,5.92,3.63,3.22,
1977Q4,1.26,1.21,3.63,1.57,5.25,3.37,2.93,
1976Q4,1.13,0.87,3.45,1.5,4.86,2.93,2.69,
1975Q4,0.9,0.7,3.34,1.47,4.63,2.73,2.55,
1974Q4,0.77,0.51,3,1.45,4.72,2.3,2.18,
1973Q4,0.48,0.45,2.01,1.31,4.54,1.96,1.59,
1972Q4,0.46,0.45,1.76,1.22,4.67,1.46,1.33,
1971Q4,0.28,0.48,1.79,1.28,4.58,1.44,1.5,
1970Q4,0.43,0.39,1.77,1.25,4.53,1.42,1.32,
