Month,Year,Tot.Consump.MMBtu,X...Per.kwh.Mo.Albany,WY.Tot.Consump.MMBtu,WY.Ave.by.County,NE-US-NG.$/BTU,S-US-Elec$/KWH,W-US-Elec$/KWH,West-US-Heat$/BTU,ELEC.GEN.TOT-US-99,ELEC.GEN.NG-US-99.M,ELEC.GEN.NUC-US-99.M,ELEC.GEN.ALL-WY-99.M,ELEC.GEN.COW-WY-99.M,ELEC.GEN.PEL-WY-99.M,ELEC.GEN.NG-WY-99.M,ELEC.GEN.HYC-WY-99.M
1,2001,43,7.92,35.865,21.69130435,1.154,0.078,0.084,1.179,332493,42389,68707,4021,3882,3,58,44
2,2001,41,7.92,32.801,19.44347826,1.192,0.079,0.084,1.168,282940,37967,61272,3747,3627,2,50,38
3,2001,44,7.92,33.766,33.00869565,1.196,0.08,0.084,1.129,300707,44364,62141,4093,3956,2,58,47
4,2001,37,7.92,35.60893,42.21304348,1.237,0.081,0.084,1.056,278079,45843,56003,3459,3327,2,41,68
5,2001,36,7.92,33.21135,52.87391304,1.141,0.083,0.086,1.088,300492,50934,61512,3437,3270,4,35,103
6,2001,39,7.92,32.45027,61.6,1.082,0.089,0.087,0.98,327694,57603,68023,3686,3480,4,45,127
7,2001,44,7.92,31.47739,70.93913043,1.068,0.089,0.089,0.919,357614,73030,69166,4128,3909,2,50,136
8,2001,44,7.92,34.20161,69.56521739,1.063,0.088,0.09,0.879,370533,78410,68389,3901,3690,4,50,126
9,2001,31,7.92,27.4575,59.83043478,1.031,0.088,0.087,0.828,306929,60181,63378,2985,2815,4,48,87
10,2001,40,7.92,34.45906,44.89565217,0.987,0.083,0.087,0.76,294734,56376,60461,3657,3496,4,52,34
11,2001,45,7.92,32.4882,35.79130435,1.012,0.079,0.086,0.804,278934,44491,62342,3847,3683,2,51,29
12,2001,42,7.92,28.27687,22.75652174,0.958,0.079,0.086,0.816,305496,47541,67431,3816,3655,4,54,41
1,2002,42,8.03,35.90625,21.64347826,0.941,0.077,0.09,0.829,319941,48413,70926,3847,3705,4,55,34
2,2002,38,8.03,34.79681,24.29130435,0.927,0.076,0.09,0.761,281826,44308,61658,3501,3371,3,52,30
3,2002,42,8.03,37.43265,24.52173913,0.918,0.076,0.092,0.761,302549,51214,63041,3934,3800,3,56,33
4,2002,34,8.03,26.84509,41.25652174,0.93,0.075,0.092,0.802,289848,49146,58437,3082,2937,7,53,39
5,2002,36,8.03,26.35276,48.8826087,0.882,0.076,0.095,0.823,307675,50275,63032,3273,3115,1,53,61
6,2002,34,8.03,28.59121,63.28695652,0.895,0.082,0.105,0.784,341023,65631,66372,3135,2940,7,52,99
7,2002,42,8.03,26.41106,72.02608696,0.896,0.083,0.108,0.788,381542,83917,70421,3893,3686,2,60,107
8,2002,41,8.03,27.85711,64.76086957,0.89,0.083,0.109,0.79,374586,84477,70778,3841,3653,4,64,78
9,2002,41,8.03,25.88835,57.37826087,0.897,0.083,0.109,0.802,331279,68161,64481,3786,3628,2,84,36
10,2002,40,8.03,25.33058,38.9,0.926,0.079,0.112,0.819,307059,54201,60493,3744,3598,4,80,20
11,2002,40,8.03,20.11726,30.79565217,1.001,0.076,0.109,0.821,296290,45161,61520,3673,3551,2,48,20
12,2002,44,8.03,42.51,25.80434783,1,0.076,0.11,0.813,324834,46100,68905,4074,3939,2,56,26
1,2003,44,8.8,40.265,28.29130435,1.052,0.076,0.11,0.855,341989,50176,69211,4081,3973,2,41,20
2,2003,39,8.8,40.758,21.3173913,1.068,0.076,0.11,0.856,299249,43547,60942,3577,3479,3,44,18
3,2003,40,8.8,45.11688,32.3173913,1.184,0.078,0.11,0.937,304317,46699,59933,3805,3697,4,29,27
4,2003,34,8.8,42.26441,44.72608696,1.175,0.079,0.11,0.853,285756,45195,56776,3090,2993,4,27,43
5,2003,34,8.8,43.42426,51.00869565,1.107,0.081,0.112,0.898,307545,49373,62202,3181,3073,5,13,66
6,2003,38,8.8,43.10033,57.73913043,1.117,0.087,0.113,0.938,328694,54453,64181,3451,3315,6,11,99
7,2003,42,8.8,42.81371,72.43913043,1.105,0.088,0.112,0.941,374396,76938,69653,3952,3776,3,35,126
8,2003,41,8.8,40.07885,70.70869565,1.089,0.089,0.113,0.937,381816,83250,69024,3761,3622,5,32,88
9,2003,39,8.8,41.00083,54.91304348,1.108,0.089,0.113,0.946,323136,59090,63584,3539,3460,3,14,39
10,2003,40,8.8,42.40486,49.01304348,1.096,0.084,0.113,0.952,306741,51824,60016,3557,3481,4,15,23
11,2003,41,8.8,45.77341,25.54782609,1.151,0.081,0.11,0.926,297867,45328,59600,3757,3677,3,11,22
12,2003,42,8.8,47.52945,25.96086957,1.169,0.081,0.11,0.95,331680,44035,68612,3876,3793,3,9,23
1,2004,42,10.31,44.55688,21.59565217,1.195,0.081,0.11,0.993,346546,48253,70806,3966,3818,5,7,49
2,2004,39,10.31,45.93903,24.5826087,1.196,0.081,0.11,0.948,314280,50320,64102,3703,3587,4,7,49
3,2004,40,10.31,45.42909,37.36086957,1.187,0.081,0.105,0.913,308812,49801,63285,3780,3645,4,8,49
4,2004,36,10.31,45.49732,44.09565217,1.197,0.082,0.108,0.906,290560,51822,58620,3375,3251,5,10,49
5,2004,31,10.31,43.93281,51.02173913,1.138,0.084,0.111,0.974,327380,62022,64917,2917,2782,4,9,49
6,2004,39,10.31,37.55405,58.22173913,1.154,0.09,0.108,1.021,345085,64686,67734,3641,3535,4,6,49
7,2004,41,10.31,35.43402,66.45217391,1.181,0.091,0.108,1.013,377332,79290,71975,3765,3664,5,6,49
8,2004,45,10.31,34.53273,63.05652174,1.184,0.091,0.104,1.037,368439,77821,71068,4018,3917,3,7,49
9,2004,43,10.31,40.05895,56.61304348,1.171,0.091,0.104,1.007,335622,67854,65932,4001,3890,2,6,49
10,2004,40,10.31,40.665,45.47826087,1.185,0.086,0.105,1.025,312450,57229,62530,3765,3643,5,6,49
11,2004,42,10.31,43.177,32.44782609,1.272,0.084,0.102,1.121,302101,49693,58941,3923,3807,3,7,49
12,2004,41,10.31,42.409,26.84782609,1.294,0.084,0.102,1.101,341948,51310,68617,3954,3807,3,9,49
1,2005,41,12.94,41.28193,24.83478261,1.307,0.085,0.102,1.107,343121,51338,69828,3847,3734,4,9,28
2,2005,37,12.94,42.07314,28.07391304,1.299,0.086,0.101,1.078,298500,44913,60947,3511,3423,4,7,24
3,2005,40,12.94,40.82538,34.3,1.295,0.086,0.1,1.06,317458,51897,61539,3835,3713,3,10,30
4,2005,33,12.94,42.77382,41.79130435,1.329,0.087,0.1,1.098,289562,52016,55484,3163,3049,3,8,41
5,2005,32,12.94,44.49539,49.15217391,1.253,0.089,0.103,1.152,315062,54826,62970,3052,2835,5,26,99
6,2005,41,12.94,41.25522,59.16521739,1.239,0.097,0.103,1.129,363672,75635,66144,3959,3674,5,41,148
7,2005,43,12.94,43.41625,70.09565217,1.262,0.098,0.103,1.165,402274,96819,71070,4125,3818,3,53,175
8,2005,43,12.94,47.05697,65.12608696,1.275,0.098,0.104,1.168,404941,100787,71382,4298,4037,2,56,122
9,2005,40,12.94,44.76744,57.53043478,1.417,0.099,0.104,1.274,350218,73355,66739,3796,3609,5,38,57
10,2005,43,12.94,45.12258,46.80434783,1.631,0.095,0.103,1.439,316398,55941,61236,4034,3887,4,27,26
11,2005,43,12.94,42.74093,34.89130435,1.636,0.096,0.101,1.478,306115,49440,62913,3934,3747,2,25,28
12,2005,43,12.94,39.93071,21.24347826,1.676,0.095,0.101,1.351,348101,53993,71735,4013,3820,3,26,30
1,2006,44,14.55,43.82226,29.22608696,1.708,0.101,0.102,1.449,328658,43807,71912,4136,3922,2,44,30
2,2006,39,14.55,39.38625,22.32173913,1.615,0.101,0.102,1.292,307333,47409,62616,3638,3441,3,46,26
3,2006,44,14.55,42.56181,31.53043478,1.576,0.101,0.102,1.258,318730,54922,63721,4077,3904,4,47,32
4,2006,33,14.55,36.82074,45.12608696,1.517,0.102,0.102,1.264,297858,56091,57567,3193,2946,1,43,103
5,2006,30,14.55,34.04007,52.87391304,1.473,0.103,0.108,1.263,330616,65586,62776,2907,2633,4,36,147
6,2006,36,14.55,29.77082,64.46086957,1.44,0.11,0.109,1.186,364260,81060,68391,3430,3197,8,38,120
7,2006,42,14.55,30.54318,72.53043478,1.409,0.111,0.108,1.202,410421,108094,72186,4083,3811,5,43,163
8,2006,44,14.55,39.548,66.93478261,1.423,0.111,0.109,1.219,407763,106592,72016,4207,3983,3,44,114
9,2006,42,14.55,36.526,53.57391304,1.414,0.111,0.108,1.269,332055,72673,66642,3915,3788,2,33,39
10,2006,41,14.55,38.859,42.73913043,1.331,0.106,0.109,1.181,321567,70640,57509,3884,3706,6,43,21
11,2006,43,14.55,39.40532,33.04782609,1.514,0.102,0.107,1.257,309159,53440,61392,4013,3832,2,39,24
12,2006,42,14.55,37.21816,24.4,1.516,0.102,0.107,1.247,336283,56128,70490,3915,3728,5,45,25
1,2007,42,14.95,37.63299,17.15217391,1.51,0.102,0.114,1.222,353531,61475,74006,3976,3771,2,64,22
2,2007,37,14.95,36.41063,24.7,1.503,0.102,0.119,1.267,323230,57622,65225,3499,3295,4,58,19
3,2007,38,14.95,40.11656,38.7173913,1.509,0.102,0.12,1.293,320471,56204,64305,3547,3351,3,58,27
4,2007,32,14.95,38.69322,41.24782609,1.501,0.102,0.121,1.267,303129,60153,57301,3028,2812,5,47,84
5,2007,37,14.95,39.7869,53.20434783,1.43,0.103,0.126,1.327,330203,66470,65025,3433,3239,6,49,66
6,2007,42,14.95,36.25791,62.56956522,1.436,0.11,0.125,1.355,362755,81511,68923,3946,3722,3,42,110
7,2007,43,14.95,42.50402,72.87826087,1.435,0.111,0.125,1.324,393226,97483,72739,4086,3846,3,39,146
8,2007,44,14.95,42.99545,68.95652174,1.403,0.111,0.125,1.258,421797,121338,72751,4215,3951,3,42,149
9,2007,42,14.95,40.89123,58.23913043,1.373,0.111,0.125,1.244,355394,88532,67579,3918,3742,3,50,43
10,2007,42,14.95,36.76055,46.1,1.405,0.108,0.127,1.26,332615,78358,61690,3909,3732,6,43,25
11,2007,42,14.95,36.83782,34.6,1.526,0.105,0.123,1.23,314103,60637,64899,3946,3760,4,41,21
12,2007,44,14.95,35.07435,18.99565217,1.522,0.105,0.123,1.238,346290,66808,71983,4131,3907,5,61,20
1,2008,44,17.86,34.63459,17.19130435,1.52,0.106,0.123,1.247,362998,72600,70735,4152,3936,5,52,53
2,2008,41,17.86,37.22147,24.1,1.526,0.105,0.123,1.297,325106,60042,65130,3906,3684,4,50,50
3,2008,42,17.86,29.34128,30.69130435,1.547,0.106,0.121,1.338,324630,62171,64716,3972,3738,4,48,63
4,2008,35,17.86,29.15823,37.03478261,1.587,0.108,0.122,1.408,305865,63046,57333,3297,3089,3,40,74
5,2008,35,17.86,27.89221,48.27826087,1.623,0.111,0.126,1.485,325245,62270,64826,3298,3102,3,41,88
6,2008,37,17.86,24.49888,58.1173913,1.696,0.119,0.127,1.524,373109,84620,70319,3612,3381,7,35,110
7,2008,44,17.86,42.007,69.30434783,1.849,0.122,0.127,1.633,402900,100321,74318,4171,3962,2,38,100
