Date,Albany,Big Horn,Campbell,Carbon,Converse,Crook,Fremont,Goshen,Hot Springs,Johnson,Laramie,Lincoln,Natrona,Niobrara,Park,Platte,Sheridan,Sublette,Sweetwater,Teton,Uinta,Washakie,Weston,WY Ave by County
1/1/00,25.1,19.2,26.9,29,28.2,23.9,27.4,30.7,27.1,25.9,31,16.6,26.9,28.1,22.6,32.8,24.1,15.4,24.5,17.8,25.1,23.6,25.4,25.1
2/1/00,28.7,31.1,31.7,31.7,32.6,30.5,31.2,35.1,32.9,31.7,34.7,21.9,30.9,32.2,27.2,37.1,28.5,19.4,28.2,22.4,28,31.5,31.1,30.01304348
3/1/00,31.8,40,37.7,34.9,36.5,36.4,37.6,40.1,39,37.8,37.3,23.4,36.2,37.9,30.1,40.7,37.8,24.2,32.1,26.4,30.5,38.3,38.2,34.99565217
4/1/00,40.3,47.7,43.1,45.8,43.1,41.6,46.3,47,47.2,44,45,35.2,43.5,43.9,38.9,47.8,44.1,38.1,43.7,38.1,42.4,46.2,44.4,43.36521739
5/1/00,50.2,57.5,53,54.9,53.6,52.5,56,58.5,55.8,53.7,54.9,41.4,53.6,55.7,45,58.7,53.9,46,52.6,44.9,50.3,56.3,55.7,52.81304348
6/1/00,57.6,64.5,60.7,62.1,60.2,59.2,62.3,65.3,62.9,60.4,62.2,49.8,60.2,62.9,52,65.5,60.1,52.8,60.5,52.2,58.1,63.3,62.5,59.8826087
7/1/00,66.5,74.7,73,70.2,71.7,71,72.3,74.6,72.6,72.3,71.8,60.6,71.2,74.2,64.4,75.2,72.3,60.8,69.6,60.5,66.5,73.6,74.6,70.1826087
8/1/00,66.3,73,72.7,70.9,71.4,71.3,72,74.3,72.1,72,70.9,60.8,71.3,73.6,62.2,75.5,70.9,60.5,69.2,59.6,67,72.5,74.5,69.76086957
9/1/00,53.4,58.8,59.2,55.4,57.2,58.3,56.6,60.5,58.1,57.3,58.8,46.5,56.7,60.7,49.5,61.4,57.3,47.7,53.2,48,52,57.5,61.3,55.88695652
10/1/00,42.5,46.7,47.1,44.5,46.5,46.7,45.6,49,47.3,45.2,47.2,36.1,45.5,47.9,40.5,50.9,45.6,37.6,43.5,38.9,42.2,46.3,48.4,44.85652174
11/1/00,18.8,18.8,22.6,19.1,21.2,20.2,15.5,25.3,21,20.8,26,16.9,19,23.2,21,26.6,23.5,16.9,19.6,18.1,21.6,19.6,22.4,20.76956522
12/1/00,17.5,17,18.2,19.6,20.1,16.8,15.8,23.9,20.3,18.4,25.5,17.8,20.1,19.5,20.6,25.2,18.2,13.5,20.2,14.7,24.3,17.2,16.3,19.16086957
1/1/01,17.1,16.6,27.7,18.5,23.7,24.6,16.1,28.1,22.6,25.2,27.8,17.8,23.8,26,23.1,28.5,24.7,12.6,17.9,12,20.6,19.5,24.4,21.69130435
2/1/01,20.2,14.6,19.1,21.7,21.1,17.4,17.4,26.1,20.6,18,26.4,16.4,19.8,19.5,18.7,28.2,16.6,14,19.7,16.9,21.7,15.3,17.8,19.44347826
3/1/01,29.4,36.2,33.8,32.4,33.6,31.9,35.4,37.5,36.6,33.6,34.8,26.9,32.7,33.7,30.4,38.3,33.6,27,32.5,28,31.6,35.6,33.7,33.00869565
4/1/01,38.8,47.1,44.1,42.7,43.4,43,45,46.5,45.4,43.8,43.6,32,43.3,44.9,35.1,47.8,44.1,35.3,41.1,33.9,39,45.6,45.4,42.21304348
5/1/01,48.9,59.4,54.1,52.2,53.3,52.5,56.7,56.4,57.7,55.4,52.5,43,53.9,54.4,46.2,56.4,55.7,46.7,52.3,45.1,50.3,57.6,55.4,52.87391304
6/1/01,59.2,66.2,63.1,61.7,63.5,60.6,64.9,66.6,64.8,63.8,63.5,50,63.1,64.1,52.9,69.7,62.8,53.5,61.6,52.8,58.3,65.4,64.7,61.6
7/1/01,67.3,76.4,73.4,70.8,72.5,70.8,73.7,75.9,73.3,73.4,71.7,60.6,72.9,74.4,64.1,77.2,74,61.8,70.9,60.7,66.2,74.9,74.7,70.93913043
8/1/01,65,74.2,73.4,67.6,71.3,70.7,72,72.8,72.6,71.9,68.8,61.1,70.9,73.2,63,74.4,72.6,61.3,68.8,60.6,66.1,73.2,74.5,69.56521739
9/1/01,56.2,63.2,62.2,60,60.8,59.4,62.5,63.2,62.8,61.4,61.4,51.9,60.9,62.8,54.7,63.5,61.2,52.3,59.2,52.4,58.6,62,63.5,59.83043478
10/1/01,43.2,47,46.7,46,45.7,44.5,46.4,47.4,47.4,44.8,47,37,45.4,46.9,40.3,50.8,45.1,38.1,45.3,38.5,45.4,46.6,47.1,44.89565217
11/1/01,31.6,37.4,39.6,34.2,37,36.4,35.1,38.5,38.3,38.5,38.8,28.4,37.8,37.4,34,42.7,37.5,29.6,33.8,30.1,32.6,36.7,37.2,35.79130435
12/1/01,21.1,21.7,26.9,21.9,26.7,25.3,20.6,29.9,23.7,25.4,29.4,14.9,24.5,27.1,20.8,31.5,26.3,9.2,18.3,13,19,21.5,24.7,22.75652174
1/1/02,19.9,19.9,25.3,20.3,24.7,23.2,21.5,29,22.3,22.9,27.5,13.8,21.9,25.8,18.9,29,24.8,10,19.3,14,21.2,19.5,23.1,21.64347826
2/1/02,21,22.6,29,22.1,27.7,26.1,23.5,30.6,27.1,27.6,28.8,17.5,25.6,28.7,21.7,31.2,28.8,11.1,20.8,14.5,21.2,24.1,27.4,24.29130435
3/1/02,24.6,26.7,22.2,25.9,24.2,22.3,27.8,29,27.1,21.4,28.6,19.6,24.6,23.8,21.7,27.8,21.8,21.2,26.3,21.9,26.3,25.6,23.6,24.52173913
