Month,Date,Year,NG.Consump.MMBtu,Coal.Consump.MMBtu,Tot.Consump.MMBtu,X...Per.kwh.Mo.Albany,WY..Tot.Consump.MMBtu,Albany,Big.Horn,Campbell,Carbon,Converse,Crook,Fremont,Goshen,Hot.Springs,Johnson,Laramie,Lincoln,Natrona,Niobrara,Park,Platte,Sheridan,Sublette,Sweetwater,Teton,Uinta,Washakie,Weston,WY.Ave.by.County,ELEC.GEN.ALL-US-99.M,ELEC.GEN.AOR-US-99.M,ELEC.GEN.COW-US-99.M,ELEC.GEN.HPS-US-99.M,ELEC.GEN.HYC-US-99.M,ELEC.GEN.NG-US-99.M,ELEC.GEN.NUC-US-99.M,ELEC.GEN.OOG-US-99.M,ELEC.GEN.OTH-US-99.M,ELEC.GEN.PC-US-99.M,ELEC.GEN.PEL-US-99.M,ELEC.GEN.ALL-WY-99.M,ELEC.GEN.COW-WY-99.M,ELEC.GEN.PEL-WY-99.M,ELEC.GEN.PC-WY-99.M,ELEC.GEN.NG-WY-99.M,ELEC.GEN.OOG-WY-99.M,ELEC.GEN.NUC-WY-99.M,ELEC.GEN.HYC-WY-99.M,ELEC.GEN.AOR-WY-99.M,ELEC.GEN.HPS-WY-99.M,ELEC.GEN.OTH-WY-99.M,ELEC.GEN.TSN-WY-99.M
1,1,2001,1,42,43,7.92,35.865,17.1,16.6,27.7,18.5,23.7,24.6,16.1,28.1,22.6,25.2,27.8,17.8,23.8,26,23.1,28.5,24.7,12.6,17.9,12,20.6,19.5,24.4,21.69130435,332493,6025,177287,-589,18852,42389,68707,718,992,812,17300,4021,3882,3,0,58,1,0,44,26,0,7,0
2,1,2001,1,40,41,7.92,32.801,20.2,14.6,19.1,21.7,21.1,17.4,17.4,26.1,20.6,18,26.4,16.4,19.8,19.5,18.7,28.2,16.6,14,19.7,16.9,21.7,15.3,17.8,19.44347826,282940,5310,149735,-707,17473,37967,61272,676,872,716,9626,3747,3627,2,0,50,1,0,38,23,0,6,0
3,1,2001,1,43,44,7.92,33.766,29.4,36.2,33.8,32.4,33.6,31.9,35.4,37.5,36.6,33.6,34.8,26.9,32.7,33.7,30.4,38.3,33.6,27,32.5,28,31.6,35.6,33.7,33.00869565,300707,5795,155269,-773,20477,44364,62141,769,931,752,10981,4093,3956,2,0,58,1,0,47,22,0,7,0
4,1,2001,1,36,37,7.92,35.60893,38.8,47.1,44.1,42.7,43.4,43,45,46.5,45.4,43.8,43.6,32,43.3,44.9,35.1,47.8,44.1,35.3,41.1,33.9,39,45.6,45.4,42.21304348,278079,5827,140671,-796,18013,45843,56003,698,957,627,10237,3459,3327,2,0,41,1,0,68,13,0,7,0
5,1,2001,0,36,36,7.92,33.21135,48.9,59.4,54.1,52.2,53.3,52.5,56.7,56.4,57.7,55.4,52.5,43,53.9,54.4,46.2,56.4,55.7,46.7,52.3,45.1,50.3,57.6,55.4,52.87391304,300492,5738,151593,-623,19176,50934,61512,785,986,749,9641,3437,3270,4,0,35,1,0,103,16,0,8,0
6,1,2001,1,38,39,7.92,32.45027,59.2,66.2,63.1,61.7,63.5,60.6,64.9,66.6,64.8,63.8,63.5,50,63.1,64.1,52.9,69.7,62.8,53.5,61.6,52.8,58.3,65.4,64.7,61.6,327694,5964,162616,-774,20728,57603,68023,733,978,825,10997,3686,3480,4,0,45,1,0,127,23,0,7,0
7,1,2001,1,43,44,7.92,31.47739,67.3,76.4,73.4,70.8,72.5,70.8,73.7,75.9,73.3,73.4,71.7,60.6,72.9,74.4,64.1,77.2,74,61.8,70.9,60.7,66.2,74.9,74.7,70.93913043,357614,6244,179060,-871,18079,73030,69166,840,1022,992,10050,4128,3909,2,0,50,0,0,136,23,0,8,0
8,1,2001,1,43,44,7.92,34.20161,65,74.2,73.4,67.6,71.3,70.7,72,72.8,72.6,71.9,68.8,61.1,70.9,73.2,63,74.4,72.6,61.3,68.8,60.6,66.1,73.2,74.5,69.56521739,370533,6293,183116,-715,18914,78410,68389,848,1048,994,13235,3901,3690,4,0,50,1,0,126,23,0,8,0
9,1,2001,1,30,31,7.92,27.4575,56.2,63.2,62.2,60,60.8,59.4,62.5,63.2,62.8,61.4,61.4,51.9,60.9,62.8,54.7,63.5,61.2,52.3,59.2,52.4,58.6,62,63.5,59.83043478,306929,5770,154158,-928,15256,60181,63378,767,1004,911,6432,2985,2815,4,0,48,1,0,87,23,0,8,0
10,1,2001,1,39,40,7.92,34.45906,43.2,47,46.7,46,45.7,44.5,46.4,47.4,47.4,44.8,47,37,45.4,46.9,40.3,50.8,45.1,38.1,45.3,38.5,45.4,46.6,47.1,44.89565217,294734,6050,148931,-615,15235,56376,60461,737,1025,961,5573,3657,3496,4,0,52,1,0,34,58,0,13,0
11,1,2001,1,44,45,7.92,32.4882,31.6,37.4,39.6,34.2,37,36.4,35.1,38.5,38.3,38.5,38.8,28.4,37.8,37.4,34,42.7,37.5,29.6,33.8,30.1,32.6,36.7,37.2,35.79130435,278934,5713,144117,-811,15413,44491,62342,699,1040,841,5090,3847,3683,2,0,51,0,0,29,62,0,20,0
12,1,2001,1,41,42,7.92,28.27687,21.1,21.7,26.9,21.9,26.7,25.3,20.6,29.9,23.7,25.4,29.4,14.9,24.5,27.1,20.8,31.5,26.3,9.2,18.3,13,19,21.5,24.7,22.75652174,305496,6038,157402,-623,19346,47541,67431,770,1051,1055,5484,3816,3655,4,0,54,1,0,41,54,0,8,0
