Month,Date,Year,NG.Consump.MMBtu,Coal.Consump.MMBtu,Tot.Consump.MMBtu,X...Per.kwh.Mo.Albany,WY.Tot.Consump.MMBtu,WY.Ave.by.County,ELEC.GEN.ALL-US-99.M,ELEC.GEN.NG-US-99.M,ELEC.GEN.NUC-US-99.M,ELEC.GEN.PC-US-99.M,ELEC.GEN.ALL-WY-99.M,ELEC.GEN.COW-WY-99.M,ELEC.GEN.NG-WY-99.M,ELEC.GEN.HYC-WY-99.M,ELEC.GEN.AOR-WY-99.M
1,1,2001,1,42,43,7.09,35.865,21.69130435,332493,42389,68707,812,4021,3882,58,44,26
2,1,2001,1,40,41,7.11,32.801,19.44347826,282940,37967,61272,716,3747,3627,50,38,23
3,1,2001,1,43,44,7.15,33.766,33.00869565,300707,44364,62141,752,4093,3956,58,47,22
4,1,2001,1,36,37,7.26,35.60893,42.21304348,278079,45843,56003,627,3459,3327,41,68,13
5,1,2001,0,36,36,7.24,33.21135,52.87391304,300492,50934,61512,749,3437,3270,35,103,16
6,1,2001,1,38,39,7.22,32.45027,61.6,327694,57603,68023,825,3686,3480,45,127,23
7,1,2001,1,43,44,7.15,31.47739,70.93913043,357614,73030,69166,992,4128,3909,50,136,23
8,1,2001,1,43,44,7.25,34.20161,69.56521739,370533,78410,68389,994,3901,3690,50,126,23
9,1,2001,1,30,31,7.34,27.4575,59.83043478,306929,60181,63378,911,2985,2815,48,87,23
10,1,2001,1,39,40,7.95,34.45906,44.89565217,294734,56376,60461,961,3657,3496,52,34,58
11,1,2001,1,44,45,7.92,32.4882,35.79130435,278934,44491,62342,841,3847,3683,51,29,62
12,1,2001,1,41,42,8.02,28.27687,22.75652174,305496,47541,67431,1055,3816,3655,54,41,54
1,1,2002,1,41,42,8.03,35.90625,21.64347826,319941,48413,70926,1257,3847,3705,55,34,42
2,1,2002,1,37,38,8.22,34.79681,24.29130435,281826,44308,61658,1275,3501,3371,52,30,38
3,1,2002,1,41,42,8.13,37.43265,24.52173913,302549,51214,63041,1280,3934,3800,56,33,35
4,1,2002,1,33,34,8.05,26.84509,41.25652174,289848,49146,58437,1299,3082,2937,53,39,40
5,1,2002,1,35,36,8.03,26.35276,48.8826087,307675,50275,63032,1462,3273,3115,53,61,34
6,1,2002,1,33,34,7.92,28.59121,63.28695652,341023,65631,66372,1367,3135,2940,52,99,30
7,1,2002,1,41,42,7.89,26.41106,72.02608696,381542,83917,70421,1406,3893,3686,60,107,30
8,1,2002,1,40,41,8.01,27.85711,64.76086957,374586,84477,70778,1543,3841,3653,64,78,34
9,1,2002,1,40,41,8.05,25.88835,57.37826087,331279,68161,64481,1405,3786,3628,84,36,34
10,1,2002,1,39,40,8.1,25.33058,38.9,307059,54201,60493,1206,3744,3598,80,20,39
11,1,2002,1,39,40,8.35,20.11726,30.79565217,296290,45161,61520,1113,3673,3551,48,20,45
12,1,2002,1,43,44,8.45,42.51,25.80434783,324834,46100,68905,1252,4074,3939,56,26,46
1,1,2003,0,44,44,8.6,40.265,28.29130435,341989,50176,69211,1124,4081,3973,41,20,45
2,1,2003,0,39,39,8.7,40.758,21.3173913,299249,43547,60942,1030,3577,3479,44,18,33
3,1,2003,0,40,40,8.7,45.11688,32.3173913,304317,46699,59933,876,3805,3697,29,27,48
4,1,2003,0,34,34,8.6,42.26441,44.72608696,285756,45195,56776,1267,3090,2993,27,43,23
5,1,2003,0,34,34,8.65,43.42426,51.00869565,307545,49373,62202,1212,3181,3073,13,66,24
6,1,2003,0,38,38,8.42,43.10033,57.73913043,328694,54453,64181,1465,3451,3315,11,99,19
7,1,2003,0,42,42,8.4,42.81371,72.43913043,374396,76938,69653,1659,3952,3776,35,126,12
8,1,2003,0,41,41,8.3,40.07885,70.70869565,381816,83250,69024,1642,3761,3622,32,88,14
9,1,2003,0,39,39,8.7,41.00083,54.91304348,323136,59090,63584,1549,3539,3460,14,39,22
10,1,2003,0,40,40,8.9,42.40486,49.01304348,306741,51824,60016,1640,3557,3481,15,23,35
11,1,2003,0,41,41,9.01,45.77341,25.54782609,297867,45328,59600,1541,3757,3677,11,22,44
