Date,ELEC.GEN.ALL-US-99.M,ELEC.GEN.AOR-US-99.M,ELEC.GEN.COW-US-99.M,ELEC.GEN.HPS-US-99.M,ELEC.GEN.HYC-US-99.M,ELEC.GEN.NG-US-99.M,ELEC.GEN.NUC-US-99.M,ELEC.GEN.OOG-US-99.M,ELEC.GEN.OTH-US-99.M,ELEC.GEN.PC-US-99.M,ELEC.GEN.PEL-US-99.M,ELEC.GEN.ALL-WY-99.M,ELEC.GEN.COW-WY-99.M,ELEC.GEN.PEL-WY-99.M,ELEC.GEN.PC-WY-99.M,ELEC.GEN.NG-WY-99.M,ELEC.GEN.OOG-WY-99.M,ELEC.GEN.NUC-WY-99.M,ELEC.GEN.HYC-WY-99.M,ELEC.GEN.AOR-WY-99.M,ELEC.GEN.HPS-WY-99.M,ELEC.GEN.OTH-WY-99.M,ELEC.GEN.TSN-WY-99.M
1/1/01,332493,6025,177287,-589,18852,42389,68707,718,992,812,17300,4021,3882,3,--,58,1,--,44,26,--,7,--
2/1/01,282940,5310,149735,-707,17473,37967,61272,676,872,716,9626,3747,3627,2,--,50,1,--,38,23,--,6,--
3/1/01,300707,5795,155269,-773,20477,44364,62141,769,931,752,10981,4093,3956,2,--,58,1,--,47,22,--,7,--
4/1/01,278079,5827,140671,-796,18013,45843,56003,698,957,627,10237,3459,3327,2,--,41,1,--,68,13,--,7,--
5/1/01,300492,5738,151593,-623,19176,50934,61512,785,986,749,9641,3437,3270,4,--,35,1,--,103,16,--,8,--
6/1/01,327694,5964,162616,-774,20728,57603,68023,733,978,825,10997,3686,3480,4,--,45,1,--,127,23,--,7,--
7/1/01,357614,6244,179060,-871,18079,73030,69166,840,1022,992,10050,4128,3909,2,--,50,0,--,136,23,--,8,--
8/1/01,370533,6293,183116,-715,18914,78410,68389,848,1048,994,13235,3901,3690,4,--,50,1,--,126,23,--,8,--
9/1/01,306929,5770,154158,-928,15256,60181,63378,767,1004,911,6432,2985,2815,4,--,48,1,--,87,23,--,8,--
10/1/01,294734,6050,148931,-615,15235,56376,60461,737,1025,961,5573,3657,3496,4,--,52,1,--,34,58,--,13,--
11/1/01,278934,5713,144117,-811,15413,44491,62342,699,1040,841,5090,3847,3683,2,--,51,0,--,29,62,--,20,--
12/1/01,305496,6038,157402,-623,19346,47541,67431,770,1051,1055,5484,3816,3655,4,--,54,1,--,41,54,--,8,--
1/1/02,319941,6599,164358,-750,21795,48413,70926,923,988,1257,5434,3847,3705,4,--,55,--,--,34,42,--,7,--
2/1/02,281826,5800,143049,-586,20192,44308,61658,760,981,1275,4388,3501,3371,3,--,52,--,--,30,38,--,7,--
3/1/02,302549,6354,151486,-684,21009,51214,63041,904,1008,1280,6937,3934,3800,3,--,56,--,--,33,35,--,7,--
4/1/02,289848,6543,142305,-585,24247,49146,58437,890,1032,1299,6535,3082,2937,7,--,53,--,--,39,40,--,7,--
5/1/02,307675,6760,151406,-539,26663,50275,63032,910,1041,1462,6664,3273,3115,1,--,53,--,--,61,34,--,8,--
6/1/02,341023,7066,164668,-863,28213,65631,66372,1009,1132,1367,6429,3135,2940,7,--,52,--,--,99,30,--,7,--
7/1/02,381542,7056,183195,-998,25471,83917,70421,1071,1496,1406,8507,3893,3686,2,--,60,--,--,107,30,--,8,--
8/1/02,374586,7044,179955,-935,21084,84477,70778,1117,1329,1543,8194,3841,3653,4,--,64,--,--,78,34,--,7,--
9/1/02,331279,6582,165366,-777,17087,68161,64481,1053,1250,1405,6670,3786,3628,2,--,84,--,--,36,34,--,3,--
10/1/02,307059,6559,159099,-681,17171,54201,60493,908,1193,1206,6910,3744,3598,4,--,80,--,--,20,39,--,4,--
11/1/02,296290,6250,156054,-666,19730,45161,61520,894,1060,1113,5174,3673,3551,2,--,48,--,--,20,45,--,6,--
12/1/02,324834,6497,172190,-680,21669,46100,68905,1025,1015,1252,6859,4074,3939,2,--,56,--,--,26,46,--,6,--
1/1/03,341989,6500,181313,-802,20600,50176,69211,1283,1066,1124,11518,4081,3973,2,--,41,--,--,20,45,--,--,--
2/1/03,299249,5962,156982,-759,19780,43547,60942,1132,893,1030,9740,3577,3479,3,--,44,--,--,18,33,--,--,--
3/1/03,304317,6719,155002,-778,24202,46699,59933,1267,1051,876,9347,3805,3697,4,--,29,--,--,27,48,--,--,--
4/1/03,285756,6674,141960,-546,24759,45195,56776,1305,1052,1267,7314,3090,2993,4,--,27,--,--,43,23,--,--,--
5/1/03,307545,6473,150263,-597,29395,49373,62202,1310,1073,1212,6841,3181,3073,5,--,13,--,--,66,24,--,--,--
6/1/03,328694,6678,162285,-762,28586,54453,64181,1235,1038,1465,9534,3451,3315,6,--,11,--,--,99,19,--,--,--
7/1/03,374396,7009,181852,-745,24843,76938,69653,1292,1353,1659,10542,3952,3776,3,--,35,--,--,126,12,--,--,--
8/1/03,381816,6790,185332,-806,22972,83250,69024,1284,1493,1642,10836,3761,3622,5,--,32,--,--,88,14,--,--,--
9/1/03,323136,6537,164910,-769,18480,59090,63584,1309,1331,1549,7114,3539,3460,3,--,14,--,--,39,22,--,--,--
10/1/03,306741,6548,159323,-615,18428,51824,60016,1291,1315,1640,6970,3557,3481,4,--,15,--,--,23,35,--,--,--
11/1/03,297867,6531,158223,-695,19715,45328,59600,1451,1234,1541,4939,3757,3677,3,--,11,--,--,22,44,--,--,--
12/1/03,331680,7067,176291,-661,24044,44035,68612,1441,1146,1666,8040,3876,3793,3,--,9,--,--,23,48,--,--,--
1/1/04,346546,6888,180657,-768,22983,48253,70806,1182,1110,1925,13509,3966,3818,5,--,7,1,--,49,77,--,9,--
2/1/04,314280,6489,161503,-692,20914,50320,64102,1194,1084,1665,7701,3703,3587,4,--,7,1,--,49,46,--,9,--
3/1/04,308812,7001,154288,-653,22914,49801,63285,1292,1152,1634,8098,3780,3645,4,--,8,1,--,49,63,--,9,--
4/1/04,290560,6895,141471,-669,20888,51822,58620,1345,1145,1641,7400,3375,3251,5,--,10,1,--,49,50,--,9,--
5/1/04,327380,7339,157016,-689,24020,62022,64917,1302,1216,1725,8511,2917,2782,4,--,9,1,--,49,63,--,9,--
6/1/04,345085,7098,167642,-718,25252,64686,67734,1333,1217,1657,9185,3641,3535,4,--,6,1,--,49,37,--,9,--
